"Census Profile, 2021 Census of Population"
,,,"Kingston [Census metropolitan area], Ontario",,,,,,,,,,,,
,,,"Counts",,,,,,"Rates",,,,,,
"Topic","Characteristic","Note","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag",
"Population and dwellings","Population, 2021",1,172546,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population, 2016",1,161175,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population percentage change, 2016 to 2021",,    7.1,"",,"...",,"...",    7.1,"",,"...",,"...",
"Population and dwellings","Total private dwellings",2, 80955,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Private dwellings occupied by usual residents",3, 73506,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population density per square kilometre",,   89.9,"",,"...",,"...",   89.9,"",,"...",,"...",
"Population and dwellings","Land area in square kilometres",, 1919.17,"",,"...",,"...",,"...",,"...",,"...",
"Age characteristics","Total - Age groups of the population - 100% data",,172545,"", 84525,"", 88020,"",  100.0,"",  100.0,"",  100.0,"",
"Age characteristics","  0 to 14 years",, 24810,"", 12755,"", 12055,"",   14.4,"",   15.1,"",   13.7,"",
"Age characteristics","    0 to 4 years",,  7635,"",  3975,"",  3660,"",    4.4,"",    4.7,"",    4.2,"",
"Age characteristics","    5 to 9 years",,  8365,"",  4265,"",  4100,"",    4.8,"",    5.0,"",    4.7,"",
"Age characteristics","    10 to 14 years",,  8810,"",  4515,"",  4295,"",    5.1,"",    5.3,"",    4.9,"",
"Age characteristics","  15 to 64 years",,110770,"", 55070,"", 55700,"",   64.2,"",   65.2,"",   63.3,"",
"Age characteristics","    15 to 19 years",,  9225,"",  4735,"",  4495,"",    5.3,"",    5.6,"",    5.1,"",
"Age characteristics","    20 to 24 years",, 11755,"",  5930,"",  5825,"",    6.8,"",    7.0,"",    6.6,"",
"Age characteristics","    25 to 29 years",, 12155,"",  6210,"",  5940,"",    7.0,"",    7.3,"",    6.7,"",
"Age characteristics","    30 to 34 years",, 11685,"",  5995,"",  5690,"",    6.8,"",    7.1,"",    6.5,"",
"Age characteristics","    35 to 39 years",, 10835,"",  5440,"",  5395,"",    6.3,"",    6.4,"",    6.1,"",
"Age characteristics","    40 to 44 years",, 10110,"",  5050,"",  5060,"",    5.9,"",    6.0,"",    5.7,"",
"Age characteristics","    45 to 49 years",,  9550,"",  4760,"",  4790,"",    5.5,"",    5.6,"",    5.4,"",
"Age characteristics","    50 to 54 years",, 10595,"",  5180,"",  5420,"",    6.1,"",    6.1,"",    6.2,"",
"Age characteristics","    55 to 59 years",, 12720,"",  6105,"",  6615,"",    7.4,"",    7.2,"",    7.5,"",
"Age characteristics","    60 to 64 years",, 12145,"",  5670,"",  6475,"",    7.0,"",    6.7,"",    7.4,"",
"Age characteristics","  65 years and over",, 36965,"", 16700,"", 20265,"",   21.4,"",   19.8,"",   23.0,"",
"Age characteristics","    65 to 69 years",, 10990,"",  5175,"",  5815,"",    6.4,"",    6.1,"",    6.6,"",
"Age characteristics","    70 to 74 years",,  9710,"",  4480,"",  5230,"",    5.6,"",    5.3,"",    5.9,"",
"Age characteristics","    75 to 79 years",,  6840,"",  3130,"",  3705,"",    4.0,"",    3.7,"",    4.2,"",
"Age characteristics","    80 to 84 years",,  4675,"",  2110,"",  2565,"",    2.7,"",    2.5,"",    2.9,"",
"Age characteristics","    85 years and over",,  4750,"",  1800,"",  2950,"",    2.8,"",    2.1,"",    3.4,"",
"Age characteristics","      85 to 89 years",,  2930,"",  1210,"",  1720,"",    1.7,"",    1.4,"",    2.0,"",
"Age characteristics","      90 to 94 years",,  1350,"",   490,"",   865,"",    0.8,"",    0.6,"",    1.0,"",
"Age characteristics","      95 to 99 years",,   400,"",    85,"",   315,"",    0.2,"",    0.1,"",    0.4,"",
"Age characteristics","      100 years and over",,    65,"",    15,"",    55,"",    0.0,"",    0.0,"",    0.1,"",
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",
"Age characteristics","  0 to 14 years",,   14.4,"",   15.1,"",   13.7,"",   14.4,"",   15.1,"",   13.7,"",
"Age characteristics","  15 to 64 years",,   64.2,"",   65.2,"",   63.3,"",   64.2,"",   65.2,"",   63.3,"",
"Age characteristics","  65 years and over",,   21.4,"",   19.8,"",   23.0,"",   21.4,"",   19.8,"",   23.0,"",
"Age characteristics","    85 years and over",,    2.8,"",    2.1,"",    3.4,"",    2.8,"",    2.1,"",    3.4,"",
"Age characteristics","Average age of the population",,   43.2,"",   42.0,"",   44.3,"",   43.2,"",   42.0,"",   44.3,"",
"Age characteristics","Median age of the population",,   42.8,"",   41.2,"",   44.4,"",   42.8,"",   41.2,"",   44.4,"",
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",, 73510,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household and dwelling characteristics","  Single-detached house",, 41665,"",,"...",,"...",   56.7,"",,"...",,"...",
"Household and dwelling characteristics","  Semi-detached house",,  4580,"",,"...",,"...",    6.2,"",,"...",,"...",
"Household and dwelling characteristics","  Row house",,  4605,"",,"...",,"...",    6.3,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment or flat in a duplex",,  2395,"",,"...",,"...",    3.3,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment in a building that has fewer than five storeys",,  9925,"",,"...",,"...",   13.5,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment in a building that has five or more storeys",,  9880,"",,"...",,"...",   13.4,"",,"...",,"...",
"Household and dwelling characteristics","  Other single-attached house",,   145,"",,"...",,"...",    0.2,"",,"...",,"...",
"Household and dwelling characteristics","  Movable dwelling",4,   315,"",,"...",,"...",    0.4,"",,"...",,"...",
"Household and dwelling characteristics","Total - Private households by household size - 100% data",, 73505,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household and dwelling characteristics","  1 person",, 22175,"",,"...",,"...",   30.2,"",,"...",,"...",
"Household and dwelling characteristics","  2 persons",, 27665,"",,"...",,"...",   37.6,"",,"...",,"...",
"Household and dwelling characteristics","  3 persons",, 10465,"",,"...",,"...",   14.2,"",,"...",,"...",
"Household and dwelling characteristics","  4 persons",,  8800,"",,"...",,"...",   12.0,"",,"...",,"...",
"Household and dwelling characteristics","  5 or more persons",,  4405,"",,"...",,"...",    6.0,"",,"...",,"...",
"Household and dwelling characteristics","Number of persons in private households",,168075,"", 81520,"", 86560,"",  100.0,"",  100.0,"",  100.0,"",
"Household and dwelling characteristics","Average household size",,    2.3,"",,"...",,"...",    2.3,"",,"...",,"...",
"Marital status","Total - Marital status for the total population aged 15 years and over - 100% data",,147735,"", 71765,"", 75965,"",  100.0,"",  100.0,"",  100.0,"",
"Marital status","  Married or living common-law",, 82040,"", 40940,"", 41105,"",   55.5,"",   57.0,"",   54.1,"",
"Marital status","    Married",, 64455,"", 32205,"", 32250,"",   43.6,"",   44.9,"",   42.5,"",
"Marital status","    Living common-law",, 17585,"",  8730,"",  8850,"",   11.9,"",   12.2,"",   11.7,"",
"Marital status","      Living common law - Never married",, 12420,"",  6170,"",  6250,"",    8.4,"",    8.6,"",    8.2,"",
"Marital status","      Living common law - Separated",,   935,"",   475,"",   460,"",    0.6,"",    0.7,"",    0.6,"",
"Marital status","      Living common law - Divorced",,  3730,"",  1870,"",  1855,"",    2.5,"",    2.6,"",    2.4,"",
"Marital status","      Living common law - Widowed",,   495,"",   215,"",   285,"",    0.3,"",    0.3,"",    0.4,"",
"Marital status","  Not married and not living common-law",, 65695,"", 30830,"", 34865,"",   44.5,"",   43.0,"",   45.9,"",
"Marital status","    Not married and not living common law - Never married",, 42630,"", 23090,"", 19545,"",   28.9,"",   32.2,"",   25.7,"",
"Marital status","    Not married and not living common law - Separated",,  4370,"",  1885,"",  2490,"",    3.0,"",    2.6,"",    3.3,"",
"Marital status","    Not married and not living common law - Divorced",,  9655,"",  3670,"",  5985,"",    6.5,"",    5.1,"",    7.9,"",
"Marital status","    Not married and not living common law - Widowed",,  9035,"",  2190,"",  6845,"",    6.1,"",    3.1,"",    9.0,"",
"Family characteristics","Total - Census families in private households by family size - 100% data",5, 48115,"",,"...",,"...",  100.0,"",,"...",,"...",
"Family characteristics","  2 persons",, 27615,"",,"...",,"...",   57.4,"",,"...",,"...",
"Family characteristics","  3 persons",,  9520,"",,"...",,"...",   19.8,"",,"...",,"...",
"Family characteristics","  4 persons",,  7940,"",,"...",,"...",   16.5,"",,"...",,"...",
"Family characteristics","  5 or more persons",,  3040,"",,"...",,"...",    6.3,"",,"...",,"...",
"Family characteristics","Average size of census families",,    2.7,"",,"...",,"...",    2.7,"",,"...",,"...",
"Family characteristics","Average number of children in census families with children",6,    1.7,"",,"...",,"...",    1.7,"",,"...",,"...",
"Family characteristics","Total number of census families in private households - 100% data",, 48120,"",,"...",,"...",  100.0,"",,"...",,"...",
"Family characteristics","  Total couple families",, 40155,"",,"...",,"...",   83.4,"",,"...",,"...",
"Family characteristics","    Married couples",, 31360,"",,"...",,"...",   65.2,"",,"...",,"...",
"Family characteristics","      With children",6, 14485,"",,"...",,"...",   30.1,"",,"...",,"...",
"Family characteristics","      Without children",, 16880,"",,"...",,"...",   35.1,"",,"...",,"...",
"Family characteristics","    Common-law couples",,  8795,"",,"...",,"...",   18.3,"",,"...",,"...",
"Family characteristics","      With children",6,  3060,"",,"...",,"...",    6.4,"",,"...",,"...",
"Family characteristics","      Without children",,  5725,"",,"...",,"...",   11.9,"",,"...",,"...",
"Family characteristics","  Total one-parent families",,  7965,"",,"...",,"...",   16.6,"",,"...",,"...",
"Family characteristics","    in which the parent is a woman+",,  6150,"",,"...",,"...",   12.8,"",,"...",,"...",
"Family characteristics","    in which the parent is a man+",,  1815,"",,"...",,"...",    3.8,"",,"...",,"...",
"Family characteristics","Total - Persons in private households - 100% data",,168075,"", 81515,"", 86560,"",  100.0,"",  100.0,"",  100.0,"",
"Family characteristics","  Total - Persons in census families",,131725,"", 65100,"", 66620,"",   78.4,"",   79.9,"",   77.0,"",
"Family characteristics","    Married spouses or common-law partners",, 80310,"", 40010,"", 40305,"",   47.8,"",   49.1,"",   46.6,"",
"Family characteristics","    Parents in one-parent families",,  7965,"",  1810,"",  6150,"",    4.7,"",    2.2,"",    7.1,"",
"Family characteristics","    Children",6, 43455,"", 23285,"", 20170,"",   25.9,"",   28.6,"",   23.3,"",
"Family characteristics","      In a two-parent family",, 31600,"", 16780,"", 14820,"",   18.8,"",   20.6,"",   17.1,"",
"Family characteristics","      In a one-parent family",, 11850,"",  6500,"",  5350,"",    7.1,"",    8.0,"",    6.2,"",
"Family characteristics","  Total - Persons not in census families in private households - 100% data",, 36350,"", 16415,"", 19935,"",   21.6,"",   20.1,"",   23.0,"",
"Family characteristics","    Living alone",, 22180,"",  9220,"", 12960,"",   13.2,"",   11.3,"",   15.0,"",
"Family characteristics","    Living with other relatives",7,  3595,"",  1505,"",  2095,"",    2.1,"",    1.8,"",    2.4,"",
"Family characteristics","    Living with non-relatives only",, 10580,"",  5690,"",  4880,"",    6.3,"",    7.0,"",    5.6,"",
"Household type","Total - Household type - 100% data",, 73510,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household type","  One-census-family households without additional persons",, 42945,"",,"...",,"...",   58.4,"",,"...",,"...",
"Household type","    Couple-family households",, 36780,"",,"...",,"...",   50.0,"",,"...",,"...",
"Household type","      With children",6, 16095,"",,"...",,"...",   21.9,"",,"...",,"...",
"Household type","      Without children",, 20685,"",,"...",,"...",   28.1,"",,"...",,"...",
"Household type","    One-parent-family households",,  6165,"",,"...",,"...",    8.4,"",,"...",,"...",
"Household type","  Multigenerational households",8,  1565,"",,"...",,"...",    2.1,"",,"...",,"...",
"Household type","  Multiple-census-family households",9,   355,"",,"...",,"...",    0.5,"",,"...",,"...",
"Household type","  One-census-family households with additional persons",9,  2135,"",,"...",,"...",    2.9,"",,"...",,"...",
"Household type","  Two-or-more-person non-census-family households ",,  4325,"",,"...",,"...",    5.9,"",,"...",,"...",
"Household type","  One-person households",, 22180,"",,"...",,"...",   30.2,"",,"...",,"...",
"Income of individuals in 2020","Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data",10,143285,"", 68775,"", 74510,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Number of total income recipients aged 15 years and over in private households in 2020 - 100% data",,138505,"", 66235,"", 72270,"",   96.7,"",   96.3,"",   97.0,"",
"Income of individuals in 2020","    Median total income in 2020 among recipients ($)",, 42800,"", 47200,"", 39200,"", 42800,"", 47200,"", 39200,"",
"Income of individuals in 2020","  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 100% data",,138550,"", 66265,"", 72290,"",   96.7,"",   96.4,"",   97.0,"",
"Income of individuals in 2020","    Median after-tax income in 2020 among recipients ($)",, 38800,"", 42400,"", 36000,"", 38800,"", 42400,"", 36000,"",
"Income of individuals in 2020","  Number of market income recipients aged 15 years and over in private households in 2020 - 100% data",,124815,"", 60440,"", 64370,"",   87.1,"",   87.9,"",   86.4,"",
"Income of individuals in 2020","    Median market income in 2020 among recipients ($)",, 36800,"", 43200,"", 31600,"", 36800,"", 43200,"", 31600,"",
"Income of individuals in 2020","  Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data",, 98720,"", 49845,"", 48875,"",   68.9,"",   72.5,"",   65.6,"",
"Income of individuals in 2020","    Median employment income in 2020 among recipients ($)",, 35600,"", 39200,"", 31800,"", 35600,"", 39200,"", 31800,"",
"Income of individuals in 2020","  Number of government transfers recipients aged 15 years and over in private households in 2020 - 100% data",,125365,"", 59075,"", 66290,"",   87.5,"",   85.9,"",   89.0,"",
"Income of individuals in 2020","    Median government transfers in 2020 among recipients ($)",,  9400,"",  8000,"", 10700,"",  9400,"",  8000,"", 10700,"",
"Income of individuals in 2020","  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 100% data",, 11045,"",  5165,"",  5885,"",    7.7,"",    7.5,"",    7.9,"",
"Income of individuals in 2020","    Median employment insurance benefits in 2020 among recipients ($)",,  5480,"",  5480,"",  5480,"",  5480,"",  5480,"",  5480,"",
"Income of individuals in 2020","  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 100% data",, 35005,"", 16395,"", 18605,"",   24.4,"",   23.8,"",   25.0,"",
"Income of individuals in 2020","    Median COVID-19 emergency and recovery benefits in 2020 among recipients ($)",,  8000,"",  8000,"",  8000,"",  8000,"",  8000,"",  8000,"",
"Income of individuals in 2020","Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data",11,143265,"", 68755,"", 74505,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data",,138415,"", 66145,"", 72270,"",   96.6,"",   96.2,"",   97.0,"",
